"DepthRowID","SampleRowID","DepthNum","Depth","DepthComments"
"{000189FB-8B4D-4DB8-88CA-BF8137FFDBED}","{1B311C3F-8BD2-424B-970C-BB0E516E5354}",5,2.10,
"{0001C8A6-E965-4F2D-B10B-27B5E31B101B}","{CC57600B-F62D-4B2C-B73E-F993CA5C2061}",4,6.10,
"{0003E326-EBE1-4CC7-ADC8-A6BBA1298199}","{85672A82-15CB-4AB2-BCFD-58A3F6857C3A}",5,13.40,
"{00048154-E48F-4AD6-9896-5A769F10A117}","{4EEB8787-7E14-4474-8517-4D0B27A089F6}",5,3.90,
"{000E2615-C13E-404C-A71D-F170E56FF760}","{D327236F-39F3-4E83-83B2-346478D48DEC}",4,7.70,
"{0010BA01-091A-4CAF-ABA4-C3F8158F608A}","{05EBFB7B-B730-47D4-912A-0DA6ACEBFD02}",1,5.40,
"{00138511-393F-4FD8-B6BE-8D449823650F}","{DFB2594A-92AB-4ED1-90FC-74C6199CC014}",3,2.00,
"{001502F4-BE94-45E5-9A21-B68278BE5E62}","{047C410A-854F-4609-BC0F-177C27EE9DBF}",2,2.00,
"{00162D07-66D2-49AD-B670-F9E80E07CE95}","{10B8ED17-E31E-411C-8760-3604653685C7}",3,2.20,
"{001D8E9A-58C4-46A5-B069-E0CC40225CDD}","{F1D2DEF1-7504-45CC-A4CF-6C64B500B33C}",1,4.00,
"{001EA71C-D38E-4032-94D8-7E1B96096FC2}","{B9E62506-2D58-481A-9A9B-ACE3DF10A435}",4,3.00,
"{00221BC5-BEF5-47C2-BE56-7F64BAF9CEBA}","{F646FB25-EFDB-4319-AAFB-3C340D2A0E19}",3,7.30,
"{0026905F-DD1C-41F7-B7A9-0727E0208ABB}","{1CD76FA4-0FFA-4B26-BFD3-B67D9B9DD655}",2,3.10,
"{002A23F2-E577-4701-BA38-4D0F4D16D7BE}","{749EBA64-2F98-45F5-B5AA-9BF669580DD4}",3,7.00,
"{002AEC61-620F-436E-85E6-1ECBEEE1E3B0}","{9C39D5E2-AED5-43D5-BE09-E0DEAFAAEE1F}",2,1.80,
"{002E2392-E28F-4E2C-910D-C5506BE1257C}","{C7934BAD-02E4-4814-821F-F55E0133ED87}",3,3.60,
"{00361C4B-D35F-421D-B67D-51E23D893757}","{0A6ED011-CD72-4C3F-9EA9-02552F1CCFE2}",2,2.50,
"{003A9E15-4103-4BFA-B3EA-34B5733B2242}","{D49365C6-2572-44CB-B686-1C0FAE984A49}",2,3.40,
"{004165AE-63D1-43BF-ABF9-9A13B5733D77}","{113F0FB8-3FFC-41D1-9C7F-1E2322743A2D}",2,2.50,
"{004287D9-1F0F-42F8-8FBA-3B0729035E94}","{63564EC9-CA71-4222-913A-FB8B5EE41C0E}",2,3.40,
"{00429769-FE61-451C-B61B-09BCD13C57EA}","{9588D436-B884-460D-BA2F-70483D6CE0F1}",4,2.10,
"{0043F212-FE85-486E-A1FB-A340C57089A6}","{98B8CDD9-897A-44B5-96C6-708F9D4F245B}",4,6.00,
"{00489752-B334-487D-BEA4-F90F834EEE27}","{28C0FD70-81AF-43D4-99E3-BBBB1A91F9B4}",2,4.80,
"{004B09FD-FEFD-4E4F-92CD-BF7E3DD7E504}","{B937A8CA-39C9-4E0F-A6C9-18090FDFFC77}",5,4.20,
"{004E0BE9-F824-424C-B3B6-735CB7C975AC}","{80C400F3-15AD-4992-AA9C-95B27C0E1267}",4,2.80,
"{005595EF-7449-4183-B928-0643DE4BB7AD}","{25405A75-F8DA-413D-9B6C-D5417F812971}",4,4.50,
"{0057D20F-2DF6-4651-8F83-326CC303D04F}","{54441591-8FE9-46CB-A609-6C3844FC2BD1}",5,1.80,
"{00590D01-32AF-44B3-A467-24CA65820851}","{9CA7EF65-3622-4D50-943D-A08248478850}",2,1.60,
"{005BF30B-5330-4531-9B07-CEDEF75F9A87}","{61712910-F439-43D3-B47C-56B37599F46D}",1,4.40,
