"ID","Area","AreaCode","Bay.Delta"
1,"San Pablo Bay",1,"Bay"
2,"Napa River",2,"Bay"
3,"Suisun Bay",3,"Bay"
4,"Grizzly Bay",4,"Bay"
5,"Montezuma",5,"Bay"
6,"Honker Bay",6,"Bay"
7,"Confluence",7,"Bay"
8,"Lower Sac",8,"Delta"
9,"Upper Sac",9,"Upstream"
10,"Lower SJ",10,"Delta"
11,"Mokelumne",11,"Delta"
12,"Delta",12,"Delta"
13,"Cache Slough",13,"Upstream"
