ScientificName,OrganismCode,IngratedDS,CommonName,NonNative,Phylum,Class,Order,Family,Genus,Species,Active
Exopalaemon modestus,EXP,no ADD,Siberian prawn,yes,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Exopalaemon,modestus,1
Pimephales promelas,FHM,Pimephales promelas,fathead minnow,yes,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,promelas,1
,FLF,no ADD,flatfish unknown,,Chordata,Actinopterygii,Pleuronectiformes,NA,NA,NA,0
Cordylophora caspia,FWH,no ADD,freshwater hydroid,yes,Cnidaria,Hydrozoa,Athecatae,Clavidae,Cordylophora,caspia,0
Gobiidae,GBY,Gobiidae,goby unknown,,Chordata,Actinopterygii,Perciformes,Gobiidae,NA,NA,0
Carassius auratus,GF,Carassius auratus,goldfish,yes,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,1
Heterostichus rostratus,GKF,Heterostichus rostratus,giant kelpfish,no,Chordata,Actinopterygii,Perciformes,Clinidae,Heterostichus,rostratus,0
Sebastes carnatus,GRF,ADD,Gopher Rockfish,no,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,carnatus,1
Lepomis cyanellus,GSF,Lepomis cyanellus,green sunfish,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,cyanellus,1
Mustelus californicus,GSM,Mustelus californicus,grey smoothhound,no,Chordata,Chondrichthyes,Lamniformes,Carcharhinidae,Mustelus,californicus,0
Notemigonus crysoleucas,GSN,Notemigonus crysoleucas,golden shiner,yes,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas,1
Acipenser medirostris,GST,Acipenser medirostris,green sturgeon,no,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,medirostris,1
Lavinia exilicauda,HCH,Lavinia exilicauda,hitch,no,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Lavinia,exilicauda,1
Clupeidae,HER,Clupeidae,herring unknown,,Chordata,Actinopterygii,Clupeiformes,Clupeidae,NA,NA,0
Mylopharodon conocephalus,HH,Mylopharodon conocephalus,hardhead,no,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Mylopharodon,conocephalus,1
