DateID,SampleDate
1,9/12/1967 0:00:00
2,9/13/1967 0:00:00
3,9/15/1967 0:00:00
4,9/16/1967 0:00:00
5,9/17/1967 0:00:00
6,9/18/1967 0:00:00
7,9/19/1967 0:00:00
8,9/20/1967 0:00:00
9,10/18/1967 0:00:00
10,10/19/1967 0:00:00
11,10/20/1967 0:00:00
12,10/21/1967 0:00:00
13,10/22/1967 0:00:00
14,10/23/1967 0:00:00
15,10/24/1967 0:00:00
16,11/14/1967 0:00:00
17,11/15/1967 0:00:00
18,11/16/1967 0:00:00
19,11/17/1967 0:00:00
20,11/18/1967 0:00:00
21,11/19/1967 0:00:00
22,11/20/1967 0:00:00
23,12/12/1967 0:00:00
24,12/15/1967 0:00:00
25,12/16/1967 0:00:00
26,12/17/1967 0:00:00
27,12/18/1967 0:00:00
28,12/19/1967 0:00:00
29,12/20/1967 0:00:00
30,12/21/1967 0:00:00
31,1/15/1968 0:00:00
32,1/16/1968 0:00:00
33,1/17/1968 0:00:00
34,1/18/1968 0:00:00
35,1/19/1968 0:00:00
36,1/20/1968 0:00:00
37,1/21/1968 0:00:00
38,2/13/1968 0:00:00
39,2/14/1968 0:00:00
40,2/15/1968 0:00:00
41,2/16/1968 0:00:00
42,2/17/1968 0:00:00
43,2/18/1968 0:00:00
44,2/19/1968 0:00:00
45,2/20/1968 0:00:00
46,3/12/1968 0:00:00
47,3/13/1968 0:00:00
48,3/14/1968 0:00:00
49,3/15/1968 0:00:00
50,3/16/1968 0:00:00
51,3/17/1968 0:00:00
52,3/18/1968 0:00:00
53,3/19/1968 0:00:00
54,8/14/1968 0:00:00
55,8/15/1968 0:00:00
56,8/16/1968 0:00:00
57,8/17/1968 0:00:00
58,8/18/1968 0:00:00
59,8/19/1968 0:00:00
60,8/20/1968 0:00:00
61,9/11/1968 0:00:00
62,9/12/1968 0:00:00
63,9/13/1968 0:00:00
64,9/14/1968 0:00:00
65,9/15/1968 0:00:00
66,9/17/1968 0:00:00
67,9/18/1968 0:00:00
68,9/19/1968 0:00:00
69,10/8/1968 0:00:00
70,10/9/1968 0:00:00
71,10/10/1968 0:00:00
72,10/11/1968 0:00:00
73,10/12/1968 0:00:00
74,10/13/1968 0:00:00
75,10/14/1968 0:00:00
76,11/5/1968 0:00:00
77,11/6/1968 0:00:00
78,11/7/1968 0:00:00
79,11/8/1968 0:00:00
80,11/9/1968 0:00:00
81,11/10/1968 0:00:00
82,11/11/1968 0:00:00
83,12/5/1968 0:00:00
84,12/6/1968 0:00:00
85,12/7/1968 0:00:00
86,12/8/1968 0:00:00
87,12/9/1968 0:00:00
88,12/10/1968 0:00:00
89,12/11/1968 0:00:00
90,1/4/1969 0:00:00
91,1/5/1969 0:00:00
92,1/6/1969 0:00:00
93,1/7/1969 0:00:00
94,1/8/1969 0:00:00
95,1/9/1969 0:00:00
96,1/10/1969 0:00:00
97,2/1/1969 0:00:00
98,2/2/1969 0:00:00
99,2/3/1969 0:00:00
100,2/4/1969 0:00:00
101,2/5/1969 0:00:00
102,2/6/1969 0:00:00
103,2/7/1969 0:00:00
104,3/5/1969 0:00:00
105,3/6/1969 0:00:00
106,3/7/1969 0:00:00
107,3/9/1969 0:00:00
108,3/14/1969 0:00:00
109,3/15/1969 0:00:00
