geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
761	38.1678333333333	38.1678333333333	-121.677166666667	-121.677166666667
762	38.175	38.175	-121.657	-121.657
863	38.09145	38.09145	-121.6511	-121.6511
864	38.1011666666667	38.1011666666667	-121.598	-121.598
865	38.0866666666667	38.0866666666667	-121.576333333333	-121.576333333333
BY1	38.2114828869	38.2114828869	-122.054402489	-122.054402489
BY2	38.2133013887999	38.2133013887999	-122.046772457	-122.046772457
BY3	38.2111116489	38.2111116489	-122.044455412999	-122.044455412999
BY4	38.2056638851	38.2056638851	-122.05820831	-122.05820831
BY5	38.2112633938	38.2112633938	-122.038146913	-122.038146913
BY6	38.2100702663	38.2100702663	-122.038696977	-122.038696977
CO1	38.1928358059999	38.1928358059999	-122.026567492	-122.026567492
CO2	38.1889003798999	38.1889003798999	-122.02072759	-122.02072759
CO3	38.1937543977999	38.1937543977999	-122.037086457	-122.037086457
CO4	38.1920104853	38.1920104853	-122.029115454	-122.029115454
DV1	38.207065942	38.207065942	-121.9103381	-121.9103381
DV2	38.2028488162	38.2028488162	-121.907822216	-121.907822216
DV3	38.1986301242	38.1986301242	-121.915573053	-121.915573053
DV4	38.2045125424999	38.2045125424999	-121.910481899	-121.910481899
GR1	38.1896276997999	38.1896276997999	-122.007594713	-122.007594713
GR2	38.1906449804	38.1906449804	-122.008585553	-122.008585553
GR3	38.1890372343	38.1890372343	-122.011815268	-122.011815268
GR4	38.1843642308	38.1843642308	-122.013552641999	-122.013552641999
GY1	38.1021223780999	38.1021223780999	-122.094252342999	-122.094252342999
GY2	38.1077342812999	38.1077342812999	-122.097935410999	-122.097935410999
GY3	38.1323976286	38.1323976286	-122.086693032	-122.086693032
GY4	38.0972713107	38.0972713107	-122.092471058	-122.092471058
HL1	38.219706578	38.219706578	-122.025129466	-122.025129466
LU1	38.2107313519	38.2107313519	-121.920978592	-121.920978592
MZ1	38.0933974217999	38.0933974217999	-121.886406304	-121.886406304
MZ2	38.1099318248	38.1099318248	-121.890147941	-121.890147941
MZ3	38.0714688744999	38.0714688744999	-121.86934124	-121.86934124
MZ4	38.0805235142	38.0805235142	-121.88550427	-121.88550427
MZ5	38.0914364964	38.0914364964	-121.885378993	-121.885378993
MZ6	38.1627580241	38.1627580241	-121.929291959	-121.929291959
MZ7	38.1640284619999	38.1640284619999	-121.931158275	-121.931158275
MZ8	38.1672698388	38.1672698388	-121.933747013	-121.933747013
MZN3	38.1503740699	38.1503740699	-121.916719863	-121.916719863
NS1	38.1927966563999	38.1927966563999	-121.929331864999	-121.929331864999
NS2	38.1834015211999	38.1834015211999	-121.925783143999	-121.925783143999
NS3	38.1723923727	38.1723923727	-121.928698002	-121.928698002
PT0.1	38.2239146129999	38.2239146129999	-122.052767394	-122.052767394
PT1	38.2218957913	38.2218957913	-122.048230511	-122.048230511
PT2	38.2218802316999	38.2218802316999	-122.043585045	-122.043585045
PT3	38.2262390189999	38.2262390189999	-122.037495114	-122.037495114
RO1	38.1599342482999	38.1599342482999	-122.075122607	-122.075122607
SB0_5	38.2028989893	38.2028989893	-122.028801814999	-122.028801814999
SB1	38.2012984241999	38.2012984241999	-122.030714754	-122.030714754
SB2	38.1966381049	38.1966381049	-122.029085999	-122.029085999
SB3	38.2042913603999	38.2042913603999	-122.029121599	-122.029121599
SU1	38.2178674036999	38.2178674036999	-122.030960108	-122.030960108
SU1B	38.2094781746	38.2094781746	-122.034726357	-122.034726357
SU2	38.1983728928	38.1983728928	-122.043382894999	-122.043382894999
SU3	38.1394452834	38.1394452834	-122.073027256	-122.073027256
SU4	38.1266574359	38.1266574359	-122.081375354	-122.081375354
SU6	38.1936032133	38.1936032133	-122.039941741	-122.039941741
SU7	38.1902982283	38.1902982283	-122.039749552	-122.039749552
SUVOL	38.1806134659999	38.1806134659999	-122.048372156	-122.048372156
WL1	38.1841757258	38.1841757258	-122.06791536	-122.06791536
WL2	38.1812685455999	38.1812685455999	-122.07241696	-122.07241696
WL3	38.1746627758	38.1746627758	-122.065178618	-122.065178618
070	38.23331	38.23331	-121.51994	-121.51994
071	38.24714	38.24714	-121.51056	-121.51056
072	38.18775	38.18775	-121.58057	-121.58057
073	38.27433	38.27433	-121.53937	-121.53937
111	37.75417	37.75417	-122.35083	-122.35083
112	37.78583	37.78583	-122.36111	-122.36111
113	37.67917	37.67917	-122.35833	-122.35833
201	37.81861	37.81861	-122.42139	-122.42139
202	37.84722	37.84722	-122.44722	-122.44722
203	37.85778	37.85778	-122.46972	-122.46972
204	37.83417	37.83417	-122.39639	-122.39639
205	37.82778	37.82778	-122.35833	-122.35833
206	37.84389	37.84389	-122.34111	-122.34111
207	37.87	37.87	-122.345	-122.345
208	37.86528	37.86528	-122.39861	-122.39861
209	37.88972	37.88972	-122.42222	-122.42222
210	37.92139	37.92139	-122.44	-122.44
301	37.98031	37.98031	-122.41197	-122.41197
302	38.01389	38.01389	-122.375	-122.375
303	37.97219	37.97219	-122.425	-122.425
304	37.99581	37.99581	-122.436	-122.436
305	37.9987	37.9987	-122.4086	-122.4086
306	38.00042	38.00042	-122.41488	-122.41488
307	38.00472	38.00472	-122.4192	-122.4192
308	38.01745	38.01745	-122.40438	-122.40438
309	38.01442	38.01442	-122.39387	-122.39387
310	38.0297	38.0297	-122.37355	-122.37355
311	38.02087	38.02087	-122.37743	-122.37743
312	38.01189	38.01189	-122.432	-122.432
313	38.02219	38.02219	-122.449	-122.449
314	38.02812	38.02812	-122.41167	-122.41167
315	38.03815	38.03815	-122.3936	-122.3936
316	38.06669	38.06669	-122.427	-122.427
327	38.04772	38.04772	-122.36672	-122.36672
328	38.06005	38.06005	-122.34842	-122.34842
