name	name_type	name_resolved	authority_system	authority_id
Hyperprosopon ellipticum	scientific	Hyperprosopon ellipticum	ITIS	169748
Hypomesus pretiosus	scientific	Hypomesus pretiosus	ITIS	162030
Hypsoblennius jenkinsi	scientific	Hypsoblennius jenkinsi	ITIS	171160
Hypsurus caryi	scientific	Hypsurus caryi	ITIS	169761
Ictalurus furcatus	scientific	Ictalurus furcatus	ITIS	163997
Inopsetta ischyra	scientific	Inopsetta ischyra	ITIS	621021
Lampetra richardsoni	scientific	Lampetra richardsoni	ITIS	159707
Lepomis cyanellus	scientific	Lepomis cyanellus	ITIS	168132
Lepomis gibbosus	scientific	Lepomis gibbosus	ITIS	168144
Leuresthes tenuis	scientific	Leuresthes tenuis	ITIS	166014
Liparis	scientific	Liparis	ITIS	43620
Liparis fucensis	scientific	Liparis fucensis	ITIS	167560
Liparis pulchellus	scientific	Liparis pulchellus	ITIS	167572
Lumpenus sagitta	scientific	Lumpenus sagitta	ITIS	171583
Medialuna californiensis	scientific	Medialuna californiensis	ITIS	169522
Microgadus proximus	scientific	Microgadus proximus	ITIS	164719
Micrometrus minimus	scientific	Micrometrus minimus	ITIS	169766
Microstomus pacificus	scientific	Microstomus pacificus	ITIS	172887
Mustelus henlei	scientific	Mustelus henlei	ITIS	160236
Myliobatis californica	scientific	Myliobatis californica	ITIS	160981
Mylopharodon conocephalus	scientific	Mylopharodon conocephalus	ITIS	163587
Neoclinus uninotatus	scientific	Neoclinus uninotatus	ITIS	171480
Notorynchus cepedianus	scientific	Notorynchus cepedianus	ITIS	159829
Odontopyxis trispinosa	scientific	Odontopyxis trispinosa	ITIS	167460
Oncorhynchus kisutch	scientific	Oncorhynchus kisutch	ITIS	161977
Oncorhynchus mykiss	scientific	Oncorhynchus mykiss	ITIS	161989
Ophichthus zophochir	scientific	Ophichthus zophochir	ITIS	161469
Ophiodon elongatus	scientific	Ophiodon elongatus	ITIS	167116
Paralichthys californicus	scientific	Paralichthys californicus	ITIS	172743
Peprilus simillimus	scientific	Peprilus simillimus	ITIS	172565
Phanerodon furcatus	scientific	Phanerodon furcatus	ITIS	169751
Pholis ornata	scientific	Pholis ornata	ITIS	171642
Pisces	scientific	Pisces	World Register of Marine Species	11676
Platyrhinoidis triseriata	scientific	Platyrhinoidis triseriata	ITIS	160824
Pleuronectidae	scientific	Pleuronectidae	ITIS	172859
Pleuronectiformes	scientific	Pleuronectiformes	ITIS	172702
Pleuronichthys coenosus	scientific	Pleuronichthys coenosus	ITIS	172923
Pleuronichthys decurrens	scientific	Pleuronichthys decurrens	ITIS	172924
Pleuronichthys guttulatus	scientific	Pleuronichthys guttulatus	ITIS	616048
Pleuronichthys verticalis	scientific	Pleuronichthys verticalis	ITIS	172926
Psettichthys melanostictus	scientific	Psettichthys melanostictus	ITIS	172928
Raja binoculata	scientific	Raja binoculata	ITIS	160848
